title,date,creators,source,subjects,source_url,trove_url
Labor's island hopping service for illegal boats resumes,2012-09-08,"Keenan, Michael","SHADOW MINISTER FOR JUSTICE, CUSTOMS AND BORDER CONTROL",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2733090%22,"http://trove.nla.gov.au/version/211381735
"
Priority regions announced for refugee intake boost,2012-10-26,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2003175%22,"http://trove.nla.gov.au/version/211384121
"
"Narangba, Queensland: transcript of doorstop interview: Labor's plan for our schools, asylum seekers, Cheryl Kernot, preferences, polls, agreement with Indonesia.",2001-10-24,"Beazley, Kim; Lee, Michael; Australian Labor Party",LEADER OF THE OPPOSITION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/HU856%22,"http://trove.nla.gov.au/version/211230646
"
"Parliament House, Canberra: transcript of doorstop interview: Dr Wooldridge unauthorised email account; asylum seekers; sale of Telstra; 50:50 rule.",2002-06-07,"Crean, Simon; Australian Labor Party",LEADER OF THE OPPOSITION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/5BQ66%22,"http://trove.nla.gov.au/version/211239423
"
"Melbourne High School, South Yarra, Vic: transcript of doorstop interview: Australia's bid for World Cup Soccer, Iraq, asylum seekers.",2002-08-05,"Crean, Simon; Australian Labor Party",LEADER OF THE OPPOSITION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/T1476%22,"http://trove.nla.gov.au/version/211245971
"
Transcript of doorstop: 22 October 2010: Get Up and Grow guidelines; overseas trained doctors; medical concerns of asylum seekers.,2009-10-22,"Roxon, Nicola; Australian Labor Party",MINISTER FOR HEALTH AND AGEING,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/RDUV6%22,"http://trove.nla.gov.au/version/211330425
"
Refugees welcomed to Hobart.,2006-02-17,"Vanstone, Amanda; Liberal Party of Australia",MINISTER FOR IMMIGRATION AND MULTICULTURAL AFFAIRS,Burundi; Tasmania; Refugees; Congo (Democratic Republic); Refugee camps; Tanzania,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/84TI6%22,"http://trove.nla.gov.au/version/211289643
"
Democrats: politicians 'choke' on refugee issue.,2001-11-06,"Bartlett, Andrew; Australian Democrats","Office of BARTLETT, SEN ANDREW",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/WKC56%22,"http://trove.nla.gov.au/version/211231407
"
Transcript of joint press conference with the Hon. Marcus Stephen MP. President of the republic of Nauru: Nauru: 13 June 2011: possible reintroduction of a processing centre for boat people who come to Australia,2011-06-13,"Abbott, Tony",LEADER OF THE OPPOSITION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/844443%22,"http://trove.nla.gov.au/version/211355762
"
Canberra: transcript of press conference: asylum seekers; defence photos; Governor General; South Australian election; Michael Bowers' departure.,2002-02-19,"Howard, John; Liberal Party of Australia",PRIME MINISTER,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/U9Y56%22,"http://trove.nla.gov.au/version/211234309
"
